timestamp,open,high,low,close,volume,RSI,ATR,MACD,Signal_Line,SMA_20,Std_Dev,Upper_Band,Lower_Band
2025-12-28 13:00:00,4571.11,4571.11,4548.25,4555.26,1486.5565,28.8064768869167,4.930000000000031,-1.4486494712900821,-1.137608099570602,4568.385,4.586676930323489,4577.558353860647,4559.211646139353
2025-12-28 14:00:00,4555.26,4559.53,4548.79,4556.41,519.69,31.182795698925148,5.542142857142868,-2.2110009756052023,-1.3522866747775222,4567.574,5.190784749514831,4577.9555694990295,4557.19243050097
2025-12-28 15:00:00,4556.41,4560.0,4553.8,4559.24,155.6573,38.50692662904062,5.775714285714263,-2.5573333396632734,-1.5932960077546725,4566.8395,5.2825815808090155,4577.404663161618,4556.274336838382
2025-12-28 16:00:00,4559.24,4560.51,4556.13,4556.35,68.108,37.82762096774221,5.852857142857114,-3.030074270595833,-1.8806516603229047,4566.0835,5.653899702162548,4577.391299404325,4554.775700595675
2025-12-28 17:00:00,4556.35,4558.41,4554.35,4554.36,76.5038,37.94236602628934,5.9278571428570626,-3.524671019667039,-2.2094555321917317,4565.3015,6.144043135643032,4577.589586271286,4553.013413728713
2025-12-28 18:00:00,4554.36,4558.02,4552.6,4556.05,146.3598,40.73170731707405,6.132857142857055,-3.7371935892279,-2.5150031435989657,4564.5945,6.361611410393974,4577.317722820788,4551.8712771792125
2025-12-28 19:00:00,4556.05,4559.13,4555.0,4558.76,73.7312,45.07663725034875,6.255714285714215,-3.6449284390073444,-2.7409882026806414,4563.958,6.2715847069824715,4576.501169413965,4551.414830586034
2025-12-28 20:00:00,4558.77,4561.35,4558.25,4560.12,52.4861,43.67706596808727,6.292857142857104,-3.422613253632335,-2.8773132128709804,4563.4085,6.090816447736401,4575.590132895472,4551.226867104527
2025-12-28 21:00:00,4560.12,4560.13,4555.59,4559.45,69.909,43.18342359312465,6.185714285714247,-3.2628778433963816,-2.9544261389760607,4562.971,6.042594336525266,4575.05618867305,4550.885811326949
2025-12-28 22:00:00,4559.44,4575.12,4554.0,4555.85,472.5447,33.43734997599698,7.376428571428538,-3.3877247118052765,-3.0410858535419036,4562.463,6.198717269685129,4574.86043453937,4550.06556546063
2025-12-28 23:00:00,4555.85,4566.08,4549.04,4549.54,711.3759,27.38907849829377,8.358571428571395,-3.9502944837859104,-3.222927579590705,4561.745000000001,6.823667404125579,4575.392334808252,4548.09766519175
2025-12-29 00:00:00,4549.75,4549.99,4503.32,4520.4,1825.9807,16.758893280632634,11.634999999999959,-6.670595080251587,-3.912461079722882,4559.5824999999995,11.463760233197272,4582.510020466394,4536.654979533605
