timestamp,symbol,type,entry,tp,sl,status
2026-02-07 15:40,BTC_USDT,LONG,68580.71,71314.8492857143,67268.32314285715,PENDING
2026-02-07 15:41,ETH_USDT,LONG,2023.27,2110.314642857142,1981.4885714285715,PENDING
2026-02-07 15:44,BNB_USDT,LONG,639.37,660.0057142857142,629.4648571428571,PENDING
